Bacteria,Percentage_of_crossed_J2s
Physiological water,69.0
Physiological water,79.4
Physiological water,72.1
Acinetobacter CA01,1.0
Acinetobacter CA01,3.2
Acinetobacter CA01,10.8
Agrobacterium CT06,31.4
Agrobacterium CT06,19.6
Agrobacterium CT06,29.9
Paenibacillus CT02,86.5
Paenibacillus CT02,67.6
Paenibacillus CT02,65.8
Acinetobacter CA01 - Filtered,56.6
Acinetobacter CA01 - Filtered,65.8
Acinetobacter CA01 - Filtered,88.2
Agrobacterium CT06 - Filtered,78.2
Agrobacterium CT06 - Filtered,67.9
Agrobacterium CT06 - Filtered,75.1
Paenibacillus CT02 - Filtered,71.6
Paenibacillus CT02 - Filtered,82.0
Paenibacillus CT02 - Filtered,86.5
Physiological water,74.7
Physiological water,44.0
Physiological water,53.7
Acinetobacter CA01,26.7
Acinetobacter CA01,4.9
Acinetobacter CA01,4.4
Agrobacterium CT06,32.7
Agrobacterium CT06,25.7
Agrobacterium CT06,44.3
Paenibacillus CT02,77.8
Paenibacillus CT02,63.6
Paenibacillus CT02,44.3
Acinetobacter CA01 - Filtered,84.0
Acinetobacter CA01 - Filtered,56.0
Acinetobacter CA01 - Filtered,72.3
Agrobacterium CT06 - Filtered,81.7
Agrobacterium CT06 - Filtered,100.3
Agrobacterium CT06 - Filtered,66.0
Paenibacillus CT02 - Filtered,106.7
Paenibacillus CT02 - Filtered,100.3
Paenibacillus CT02 - Filtered,64.4
Physiological water,78.9
Physiological water,80.0
Physiological water,81.5
Acinetobacter CA01,1.2
Acinetobacter CA01,4.0
Acinetobacter CA01,1.4
Agrobacterium CT06,2.7
Agrobacterium CT06,25.3
Agrobacterium CT06,10.2
Paenibacillus CT02,97.3
Paenibacillus CT02,81.5
Paenibacillus CT02,77.6
Acinetobacter CA01 - Filtered,60.0
Acinetobacter CA01 - Filtered,96.7
Acinetobacter CA01 - Filtered,96.7
Agrobacterium CT06 - Filtered,96.0
Agrobacterium CT06 - Filtered,75.2
Agrobacterium CT06 - Filtered,90.7
Paenibacillus CT02 - Filtered,77.3
Paenibacillus CT02 - Filtered,94.2
Paenibacillus CT02 - Filtered,94.7
